cycle,bar_timestamp,signal_timestamp,execution_timestamp,action,from_position,to_position,price,prob_up,risk_reasons,signal_delay_bars
3,1775797200000,1775796300000,1775798100000,SHORT,0,-1,72060.04,0.6437578090694155,[],1
4,1775798100000,1775797200000,1775799000000,FLAT,-1,0,72224.82,0.32162727860769946,[],1
5,1775799000000,1775798100000,1775799900000,SHORT,0,-1,72157.04,0.05346524738726463,[],1
9,1775802600000,1775801700000,1775803500000,FLAT,-1,0,71936.66,0.790993966140693,[],1
12,1775805300000,1775804400000,1775806200000,LONG,0,1,71720.98,0.3565357814972036,[],1
13,1775806200000,1775805300000,1775807100000,FLAT,1,0,71660.79,0.2960146579726012,[],1
16,1775808900000,1775808000000,1775809800000,SHORT,0,-1,71643.27,0.36886652106530043,[],1
18,1775810700000,1775809800000,1775811600000,FLAT,-1,0,71606.07,0.25371517530371385,[],1
19,1775811600000,1775810700000,1775812500000,SHORT,0,-1,71693.5,0.7124421760658343,[],1
20,1775812500000,1775811600000,1775813400000,FLAT,-1,0,71765.29,0.06940512853480764,[],1
21,1775813400000,1775812500000,1775814300000,SHORT,0,-1,71811.18,0.3213966049717562,[],1
42,1775832300000,1775831400000,1775833200000,FLAT,-1,0,72909.0,0.1344096882596595,[],1
43,1775833200000,1775832300000,1775834100000,SHORT,0,-1,73026.4,0.15438910833328656,[],1
45,1775835000000,1775834100000,1775835900000,FLAT,-1,0,72745.81,0.897927394394711,[],1
47,1775836800000,1775835900000,1775837700000,LONG,0,1,72695.0,0.6549253973075873,[],1
48,1775837700000,1775836800000,1775838600000,FLAT,1,0,72768.87,0.903762573420339,[],1
49,1775838600000,1775837700000,1775839500000,LONG,0,1,72719.54,0.9233555608093388,[],1
51,1775840400000,1775839500000,1775841300000,FLAT,1,0,72865.04,0.5714893741751516,[],1
53,1775842200000,1775841300000,1775843100000,LONG,0,1,72918.0,0.2795951072313904,[],1
54,1775843100000,1775842200000,1775844000000,FLAT,1,0,73121.66,0.07073690937686676,[],1
56,1775844900000,1775844000000,1775845800000,SHORT,0,-1,72983.07,0.2939161175082138,[],1
58,1775846700000,1775845800000,1775847600000,FLAT,-1,0,73107.07,0.19654705413230328,[],1
59,1775847600000,1775846700000,1775848500000,SHORT,0,-1,73175.77,0.2055430044090165,[],1
62,1775850300000,1775849400000,1775851200000,FLAT,-1,0,73236.11,0.06782852826761863,[],1
63,1775851200000,1775850300000,1775852100000,SHORT,0,-1,73242.98,0.1876714035443358,[],1
65,1775853000000,1775852100000,1775853900000,FLAT,-1,0,73240.68,0.34748792707130377,[],1
66,1775853900000,1775853000000,1775854800000,SHORT,0,-1,73361.68,0.026628507224106306,[],1
68,1775855700000,1775854800000,1775856600000,FLAT,-1,0,73096.9,0.8015009407553305,[],1
70,1775857500000,1775856600000,1775858400000,SHORT,0,-1,73190.67,0.15317386812199457,[],1
72,1775859300000,1775858400000,1775860200000,FLAT,-1,0,73011.99,0.769415461097869,[],1
74,1775861100000,1775860200000,1775862000000,LONG,0,1,72877.0,0.7545462687248367,[],1
77,1775863800000,1775862900000,1775864700000,FLAT,1,0,72904.39,0.7712106565370249,[],1
78,1775864700000,1775863800000,1775865600000,LONG,0,1,72962.7,0.3091213449753367,[],1
79,1775865600000,1775864700000,1775866500000,FLAT,1,0,72871.39,0.6351017747464635,[],1
81,1775867400000,1775866500000,1775868300000,LONG,0,1,72862.4,0.7973020754514313,[],1
83,1775869200000,1775868300000,1775870100000,FLAT,1,0,72809.38,0.821318558689851,[],1
84,1775870100000,1775869200000,1775871000000,LONG,0,1,72835.5,0.462954116071519,[],1
85,1775871000000,1775870100000,1775871900000,FLAT,1,0,72854.63,0.5597024090157406,[],1
87,1775872800000,1775871900000,1775873700000,SHORT,0,-1,72966.26,0.6985114239191315,[],1
88,1775873700000,1775872800000,1775874600000,FLAT,-1,0,72993.76,0.2714255095015548,[],1
89,1775874600000,1775873700000,1775875500000,SHORT,0,-1,72999.96,0.43701086563731634,[],1
90,1775875500000,1775874600000,1775876400000,FLAT,-1,0,72966.57,0.4304724598255192,[],1
91,1775876400000,1775875500000,1775877300000,SHORT,0,-1,73044.28,0.19653425602426036,[],1
95,1775880000000,1775879100000,1775880900000,FLAT,-1,0,72837.99,0.20649167574294008,[],1
96,1775880900000,1775880000000,1775881800000,SHORT,0,-1,72731.45,0.47109645901717534,[],1
97,1775881800000,1775880900000,1775882700000,FLAT,-1,0,72804.46,0.4589734550160414,[],1
101,1775885400000,1775884500000,1775886300000,SHORT,0,-1,72802.0,0.28115400867350643,[],1
103,1775887200000,1775886300000,1775888100000,FLAT,-1,0,72673.87,0.32134138232893183,[],1
104,1775888100000,1775887200000,1775889000000,SHORT,0,-1,72695.04,0.5256500287951332,[],1
105,1775889000000,1775888100000,1775889900000,FLAT,-1,0,72727.21,0.44758452869769944,[],1
108,1775891700000,1775890800000,1775892600000,LONG,0,1,72799.11,0.3662618433688486,[],1
109,1775892600000,1775891700000,1775893500000,FLAT,1,0,72737.5,0.2497661877162593,[],1
112,1775895300000,1775894400000,1775896200000,SHORT,0,-1,72740.58,0.1239149471116569,[],1
114,1775897100000,1775896200000,1775898000000,FLAT,-1,0,72664.17,0.31553033256626634,[],1
115,1775898000000,1775897100000,1775898900000,SHORT,0,-1,72673.88,0.11893134854570298,[],1
131,1775912400000,1775911500000,1775913300000,FLAT,-1,0,72605.99,0.05082592053232146,[],1
132,1775913300000,1775912400000,1775914200000,SHORT,0,-1,72616.78,0.49219674686335535,[],1
133,1775914200000,1775913300000,1775915100000,FLAT,-1,0,72668.01,0.07816961223100378,[],1
134,1775915100000,1775914200000,1775916000000,SHORT,0,-1,72658.07,0.15244233098946472,[],1
136,1775916900000,1775916000000,1775917800000,FLAT,-1,0,72712.93,0.2925462229448223,[],1
137,1775917800000,1775916900000,1775918700000,SHORT,0,-1,72657.3,0.24593581134765244,[],1
140,1775920500000,1775919600000,1775921400000,FLAT,-1,0,72754.02,0.20623011358036356,[],1
141,1775921400000,1775920500000,1775922300000,SHORT,0,-1,72771.17,0.3180950390486262,[],1
143,1775923200000,1775922300000,1775924100000,FLAT,-1,0,72872.54,0.34504839194757403,[],1
144,1775924100000,1775923200000,1775925000000,SHORT,0,-1,72882.09,0.2501382499525984,[],1
149,1775928600000,1775927700000,1775929500000,FLAT,-1,0,73154.44,0.11624861037295443,[],1
150,1775929500000,1775928600000,1775930400000,SHORT,0,-1,73095.97,0.30361620805423406,[],1
158,1775936700000,1775935800000,1775937600000,FLAT,-1,0,73687.15,0.0956257258158055,[],1
159,1775937600000,1775936700000,1775938500000,SHORT,0,-1,73493.28,0.26238437472037895,[],1
161,1775939400000,1775938500000,1775940300000,FLAT,-1,0,73363.35,0.8176124714888352,[],1
166,1775943900000,1775943000000,1775944800000,SHORT,0,-1,73427.04,0.4463092449202967,[],1
167,1775944800000,1775943900000,1775945700000,FLAT,-1,0,73505.47,0.59867619257337,[],1
169,1775946600000,1775945700000,1775947500000,SHORT,0,-1,73328.04,0.8363644409572797,[],1
170,1775947500000,1775946600000,1775948400000,FLAT,-1,0,73376.01,0.7190992544134357,[],1
172,1775949300000,1775948400000,1775950200000,SHORT,0,-1,73136.0,0.32076196151637376,[],1
174,1775951100000,1775950200000,1775952000000,FLAT,-1,0,73043.16,0.289644534483496,[],1
175,1775952000000,1775951100000,1775952900000,SHORT,0,-1,73015.01,0.4323957246210013,[],1
177,1775953800000,1775952900000,1775954700000,FLAT,-1,0,73016.0,0.685161219043795,[],1
179,1775955600000,1775954700000,1775956500000,SHORT,0,-1,73077.99,0.7832870608442211,[],1
180,1775956500000,1775955600000,1775957400000,FLAT,-1,0,73017.61,0.6912178379226397,[],1
182,1775958300000,1775957400000,1775959200000,SHORT,0,-1,71643.69,0.5758457242923148,[],1
